uniprot_id,species
A0A061I6S9,Cricetulus griseus
A0A061IK90,Cricetulus griseus
A0A0A6YVP7,Mus musculus
A0A0A6YVY7,Mus musculus
A0A0B4J1X5,Homo sapiens
A0A0B4J1Y9,Homo sapiens
A0A0C4DH31,Homo sapiens
A0A0J9YXX1,Homo sapiens
A0A0P6J9K7,Heterocephalus glaber
A0A0P6JVH8,Heterocephalus glaber
A0A0S2Z3X6,Homo sapiens
A0A140LHA0,Mus musculus
A0A172Q3A6,Equus caballus
A0A1B0GTW7,Homo sapiens
A0A1B0GWX8,Rattus norvegicus
A0A1Y7VM03,Mus musculus
A0A286XD60,Cavia porcellus
A0A286XG85,Cavia porcellus
A0A286XIZ1,Cavia porcellus
A0A286Y2D0,Cavia porcellus
A0A286Y384,Cavia porcellus
A0A286Y558,Cavia porcellus
A0A287CZ45,Ictidomys tridecemlineatus
A0A287CZH7,Ictidomys tridecemlineatus
A0A287D1N0,Ictidomys tridecemlineatus
A0A287D414,Ictidomys tridecemlineatus
A0A287DAL3,Ictidomys tridecemlineatus
A0A2I3GEQ9,Nomascus leucogenys
A0A2I3GNZ3,Nomascus leucogenys
A0A2I3GY26,Nomascus leucogenys
A0A2I3HLP0,Nomascus leucogenys
A0A2I3HYM5,Nomascus leucogenys
A0A2I3SLF9,Pan troglodytes
A0A2I3T4Q4,Pan troglodytes
A0A2J8IUT1,Pan troglodytes
A0A2J8J5N0,Pan troglodytes
A0A2J8NGA8,Pan troglodytes
A0A2J8S875,Pongo abelii
A0A2J8TGH3,Pongo abelii
A0A2J8TPT4,Pongo abelii
A0A2J8UYS6,Pongo abelii
A0A2K5UU02,Macaca fascicularis
A0A2K5VHS2,Macaca fascicularis
A0A2K5X9H8,Macaca fascicularis
A0A2R8M8E0,Callithrix jacchus
A0A2R8Q9G7,Danio rerio
A0A3B1IH05,Astyanax mexicanus
A0A3B1IQS5,Astyanax mexicanus
A0A3B1JA41,Astyanax mexicanus
A0A3B1JF59,Astyanax mexicanus
A0A3B1JK36,Astyanax mexicanus
A0A3B1JQJ9,Astyanax mexicanus
A0A3B1JV82,Astyanax mexicanus
A0A3B1K2I2,Astyanax mexicanus
A0A3B1K5P8,Astyanax mexicanus
A0A3B3HXG3,Oryzias latipes
A0A3B3I426,Oryzias latipes
A0A3B3IBP9,Oryzias latipes
A0A3B3IJ88,Oryzias latipes
A0A3B5K7C1,Takifugu rubripes
A0A3B5PY53,Xiphophorus maculatus
A0A3B5Q065,Xiphophorus maculatus
A0A3B5Q6H8,Xiphophorus maculatus
A0A3B5QNW8,Xiphophorus maculatus
A0A3B5QZR6,Xiphophorus maculatus
A0A3B5R6T3,Xiphophorus maculatus
A0A3B5RE55,Xiphophorus maculatus
A0A3P9HNL3,Oryzias latipes
A0A3P9HZK1,Oryzias latipes
A0A3P9I183,Oryzias latipes
A0A3P9IIL1,Oryzias latipes
A0A3P9J4R5,Oryzias latipes
A0A3P9JCX6,Oryzias latipes
A0A3P9JRZ7,Oryzias latipes
A0A3P9JVQ7,Oryzias latipes
A0A3P9LG63,Oryzias latipes
A0A3P9MFK2,Oryzias latipes
A0A3P9MNU5,Oryzias latipes
A0A3Q1MBG1,unresolved_or_inactive
A0A3Q2H106,Equus caballus
A0A3Q2LAN4,Equus caballus
A0A452DKF0,Bos taurus
A0A452F2K3,Capra hircus
A0A452GBA0,Capra hircus
A0A480LPN4,Sus scrofa
A0A480MYH4,Sus scrofa
A0A480QWW8,Sus scrofa
A0A480R5S7,Sus scrofa
A0A481BTX0,Sus scrofa
A0A493TT92,Anas platyrhynchos platyrhynchos
A0A494BBI0,Mus musculus
A0A494C0Q1,Homo sapiens
A0A4X1SNE7,Sus scrofa
A0A4X1TIJ4,Sus scrofa
A0A4X1TJI1,Sus scrofa
A0A4X1TQM0,Sus scrofa
A0A4X1TXA1,Sus scrofa
A0A5F4VRF5,Callithrix jacchus
A0A5F4VSN1,Callithrix jacchus
A0A5F4WET3,Callithrix jacchus
A0A5F5XLM2,unresolved_or_inactive
A0A5F5XP08,unresolved_or_inactive
A0A5F5XRE1,unresolved_or_inactive
A0A5F5XWI7,unresolved_or_inactive
A0A5F7ZIP2,Macaca mulatta
A0A5F8G3J7,Monodelphis domestica
A0A5F8GEW4,Monodelphis domestica
A0A5F8GKU9,Monodelphis domestica
A0A5F8H080,Monodelphis domestica
A0A5F9C4C3,Oryctolagus cuniculus
A0A5F9C8D3,Oryctolagus cuniculus
A0A5F9CBP1,Oryctolagus cuniculus
A0A5F9CC03,Oryctolagus cuniculus
A0A5F9CKG7,Oryctolagus cuniculus
A0A5F9CSB1,Oryctolagus cuniculus
A0A5F9CW23,Oryctolagus cuniculus
A0A5F9CW57,Oryctolagus cuniculus
A0A5F9D8F2,Oryctolagus cuniculus
A0A5G2RJH9,Sus scrofa
A0A669B0R9,Oreochromis niloticus
A0A669B2H1,Oreochromis niloticus
A0A669BTP3,Oreochromis niloticus
A0A669BZY4,Oreochromis niloticus
A0A669C727,Oreochromis niloticus
A0A669CEV4,Oreochromis niloticus
A0A669CJL3,Oreochromis niloticus
A0A669D9E1,Oreochromis niloticus
A0A669DMK9,Oreochromis niloticus
A0A669FAW9,Oreochromis niloticus
A0A674GBF1,Taeniopygia guttata
A0A674GD39,Taeniopygia guttata
A0A674GE22,Taeniopygia guttata
A0A674GFF7,Taeniopygia guttata
A0A674GXH1,Taeniopygia guttata
A0A674H3P1,Taeniopygia guttata
A0A674H645,Taeniopygia guttata
A0A674HKM4,Taeniopygia guttata
A0A674MDQ3,Takifugu rubripes
A0A674MEV2,Takifugu rubripes
A0A674MP44,Takifugu rubripes
A0A674MX91,Takifugu rubripes
A0A674NKJ3,Takifugu rubripes
A0A674PC46,Takifugu rubripes
A0A674PFE8,Takifugu rubripes
A0A674PHB0,Takifugu rubripes
A0A6D2XXZ6,Takifugu rubripes
A0A6I8MXU2,Ornithorhynchus anatinus
A0A6I8N2T5,Ornithorhynchus anatinus
A0A6I8N3M8,Ornithorhynchus anatinus
A0A6I8N9J5,Ornithorhynchus anatinus
A0A6I8NAP4,Ornithorhynchus anatinus
A0A6I8NGG2,Ornithorhynchus anatinus
A0A6I8NK08,Ornithorhynchus anatinus
A0A6I8NNH0,Ornithorhynchus anatinus
A0A6I8NPN5,Ornithorhynchus anatinus
A0A6I8NRF1,Ornithorhynchus anatinus
A0A6I8NVP2,Ornithorhynchus anatinus
A0A6I8NWB8,Ornithorhynchus anatinus
A0A6I8P196,Ornithorhynchus anatinus
A0A6I8P619,Ornithorhynchus anatinus
A0A6I8P6B3,Ornithorhynchus anatinus
A0A6I8PCT7,Ornithorhynchus anatinus
A0A6I8PDL4,Ornithorhynchus anatinus
A0A6I8R636,Xenopus tropicalis
A0A6I8RDK9,Xenopus tropicalis
A0A6I8S2Q0,Xenopus tropicalis
A0A6I8SA80,Xenopus tropicalis
A0A6I8SP90,Xenopus tropicalis
A0A6Q8PFD2,Homo sapiens
A0A6S6G7G2,Takifugu rubripes
A0A7N4NII9,Sarcophilus harrisii
A0A7N4NMJ4,Sarcophilus harrisii
A0A7N4NWF7,Sarcophilus harrisii
A0A7N4P4Q5,Sarcophilus harrisii
A0A7N4P5I7,Sarcophilus harrisii
A0A7N4PMJ8,Sarcophilus harrisii
A0A7N4PML2,Sarcophilus harrisii
A0A7N4PSZ4,Sarcophilus harrisii
A0A7N4PWP3,Sarcophilus harrisii
A0A7N4PZJ7,Sarcophilus harrisii
A0A7N4UXL5,Sarcophilus harrisii
A0A7N4V020,Sarcophilus harrisii
A0A7N4V6H0,Sarcophilus harrisii
A0A7N5JWP1,Ailuropoda melanoleuca
A0A7N5K7G3,Ailuropoda melanoleuca
A0A7N5KEL0,Ailuropoda melanoleuca
A0A7N5KK41,Ailuropoda melanoleuca
A0A7N9CSF1,Macaca fascicularis
A0A7N9D0P4,Macaca fascicularis
A0A803JE50,Xenopus tropicalis
A0A803JNM0,Xenopus tropicalis
A0A803K0M5,Xenopus tropicalis
A0A803K8V5,Xenopus tropicalis
A0A803KGJ1,Xenopus tropicalis
A0A803SQS8,Anolis carolinensis
A0A803SWS3,Anolis carolinensis
A0A803TC34,Anolis carolinensis
A0A803TGH2,Anolis carolinensis
A0A803TRG0,Anolis carolinensis
A0A803TYU1,Anolis carolinensis
A0A803U1X1,Anolis carolinensis
A0A803V8M1,Ficedula albicollis
A0A836AML3,Ovis aries
A0A836D2B8,Ovis aries
A0A836D7V7,Ovis aries
A0A8B9GPD9,Astyanax mexicanus
A0A8B9GQK4,Astyanax mexicanus
A0A8B9GXU8,Astyanax mexicanus
A0A8B9H018,Astyanax mexicanus
A0A8B9H100,Astyanax mexicanus
A0A8B9HDM8,Astyanax mexicanus
A0A8B9HFL3,Astyanax mexicanus
A0A8B9HJS7,Astyanax mexicanus
A0A8B9HYU9,Astyanax mexicanus
A0A8B9J405,Astyanax mexicanus
A0A8B9J600,Astyanax mexicanus
A0A8B9J7B6,Astyanax mexicanus
A0A8B9JP74,Astyanax mexicanus
A0A8B9JPM4,Astyanax mexicanus
A0A8B9JQF1,Astyanax mexicanus
A0A8B9JT12,Astyanax mexicanus
A0A8B9K636,Astyanax mexicanus
A0A8B9K7V2,Astyanax mexicanus
A0A8B9K889,Astyanax mexicanus
A0A8B9KGN0,Astyanax mexicanus
A0A8B9KTR1,Astyanax mexicanus
A0A8B9L1A8,Astyanax mexicanus
A0A8B9L2Z9,Astyanax mexicanus
A0A8B9LCU9,Astyanax mexicanus
A0A8B9LTB9,Astyanax mexicanus
A0A8B9QT76,Anas platyrhynchos
A0A8B9QUG2,Anas platyrhynchos
A0A8B9R1K1,Anas platyrhynchos
A0A8B9R2A3,Anas platyrhynchos
A0A8B9SGA0,Anas platyrhynchos
A0A8B9SZL0,Anas platyrhynchos
A0A8B9T2N4,Anas platyrhynchos
A0A8B9T4C9,Anas platyrhynchos
A0A8B9T5H5,Anas platyrhynchos
A0A8B9TEE9,Anas platyrhynchos
A0A8B9THB5,Anas platyrhynchos
A0A8B9TT35,Anas platyrhynchos
A0A8B9ZAS4,Anas platyrhynchos
A0A8B9ZER4,Anas platyrhynchos
A0A8B9ZL86,Anas platyrhynchos
A0A8C0M217,Canis lupus familiaris
A0A8C0M7M6,Canis lupus familiaris
A0A8C0MXS7,Canis lupus familiaris
A0A8C0NQR7,Canis lupus familiaris
