UPI0019D47271	UPI0019D47271
W5MS14	W5MS14
O94988-3	O94988-3
O94988-3	O94988-1
O94988-3	O94988-6
O94988-3	O94988-5
O94988-3	A0A2K5V751
UPI00094850AA	UPI00094850AA
UPI00094850AA	A0A7N5JY65
UPI00094850AA	A0A8I3P7Q9
F6REA1	F6REA1
H2U659	H2U659
UPI0030D33838	UPI0030D33838
UPI0030D33838	UPI000387B1A3
UPI0030D33838	O94988-4
UPI0030D33838	O94988
UPI0030D33838	UPI0005120653
UPI0030D33838	UPI00244618C4
UPI0030D33838	UPI000C9E334F
UPI0030D33838	UPI0003C9115D
UPI0030D33838	F7FR29
UPI0030D33838	A0A1D5QD81
UPI0030D33838	UPI001A9DE258
UPI0030D33838	A0A2I3H294
A0A8B9L0S3	A0A8B9L0S3
UPI002FE082A3	UPI002FE082A3
UPI002FE082A3	A0AAX6T9F6
A0A669EEH9	A0A669EEH9
A0A8M9QBB9	A0A8M9QBB9
A0A8D0U7W4	A0A8D0U7W4
A0A8D0U7W4	A0A5F9C8M8
A0A8B9R2A3	A0A8B9R2A3
A0A8B9R2A3	UPI0011AF6582
A0A8B9R2A3	UPI001AE36A64
A0A8I5UTZ0	A0A8I5UTZ0
A0A3P9MI59	A0A3P9MI59
L5LLA8	L5LLA8
F7CWU8	F7CWU8
H3APW4	H3APW4
UPI0028CBB8E2	UPI0028CBB8E2
UPI0028CBB8E2	UPI0029526FDB
A0A803WEZ2	A0A803WEZ2
